Pride and Prejudice (Paperback),Jane Austen
The Fault in Our Stars (Hardcover),John Green
"Twilight (Twilight, #1)",Stephenie Meyer
"The Notebook (The Notebook, #1)",Nicholas Sparks
Jane Eyre (Paperback),Charlotte Brontë
Eleanor & Park (Hardcover),Rainbow Rowell
The Time Traveler's Wife (ebook),Audrey Niffenegger
"Me Before You (Me Before You, #1)",Jojo Moyes
Romeo and Juliet (Paperback),William Shakespeare
Sense and Sensibility (Paperback),Jane Austen
"New Moon (Twilight, #2)",Stephenie Meyer
"Fifty Shades of Grey (Fifty Shades, #1)",E.L. James
"Eclipse (Twilight, #3)",Stephenie Meyer
"Breaking Dawn (Twilight, #4)",Stephenie Meyer
Wuthering Heights (Paperback),Emily Brontë
Persuasion (Paperback),Jane Austen
"Outlander (Outlander, #1)",Diana Gabaldon
A Walk to Remember (Kindle Edition),Nicholas Sparks
Emma (Paperback),Jane Austen
"The Selection (The Selection, #1)",Kiera Cass
"Anna and the French Kiss (Anna and the French Kiss, #1)",Stephanie Perkins
"Fifty Shades Darker (Fifty Shades, #2)",E.L. James
"Fifty Shades Freed (Fifty Shades, #3)",E.L. James
Fangirl (Kindle Edition),Rainbow Rowell
"Divergent (Divergent, #1)",Veronica Roth
"Beautiful Disaster (Beautiful, #1)",Jamie McGuire
"City of Bones (The Mortal Instruments, #1)",Cassandra Clare
Dear John (Hardcover),Nicholas Sparks
"Shiver (The Wolves of Mercy Falls, #1)",Maggie Stiefvater
The Princess Bride (Paperback),William Goldman
